Code,Date,Healthcare specialisation,Minor distancing and hygiene measures,Phone line,Mask wearing,Asymptomatic contact isolation,Lockdown and cancel
LU,2019-12-20 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
DK,2019-12-20 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
EE,2019-12-20 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
NL,2019-12-20 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
IE,2019-12-20 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
SK,2019-12-20 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
CH,2019-12-20 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
RU,2019-12-20 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
ZA,2019-12-20 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
BR,2019-12-20 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
DE,2019-12-21 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
GB,2019-12-21 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
KR,2019-12-21 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
SG,2019-12-21 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
JP,2019-12-21 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
SE,2019-12-21 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
CA,2019-12-21 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
TW,2019-12-21 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
CZ,2019-12-21 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
AU,2019-12-21 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
RO,2019-12-21 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
FR,2019-12-21 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
ES,2019-12-21 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
BE,2019-12-21 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
LU,2019-12-21 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
DK,2019-12-21 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
EE,2019-12-21 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
NL,2019-12-21 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
IE,2019-12-21 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
SK,2019-12-21 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
CH,2019-12-21 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
RU,2019-12-21 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
ZA,2019-12-21 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
BR,2019-12-21 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
DE,2019-12-22 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
GB,2019-12-22 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
KR,2019-12-22 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
SG,2019-12-22 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
JP,2019-12-22 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
SE,2019-12-22 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
CA,2019-12-22 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
TW,2019-12-22 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
CZ,2019-12-22 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
AU,2019-12-22 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
RO,2019-12-22 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
FR,2019-12-22 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
ES,2019-12-22 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
BE,2019-12-22 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
LU,2019-12-22 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
DK,2019-12-22 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
EE,2019-12-22 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
NL,2019-12-22 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
IE,2019-12-22 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
SK,2019-12-22 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
CH,2019-12-22 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
RU,2019-12-22 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
ZA,2019-12-22 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
BR,2019-12-22 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
DE,2019-12-23 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
GB,2019-12-23 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
KR,2019-12-23 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
SG,2019-12-23 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
JP,2019-12-23 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
SE,2019-12-23 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
CA,2019-12-23 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
TW,2019-12-23 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
CZ,2019-12-23 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
AU,2019-12-23 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
RO,2019-12-23 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
FR,2019-12-23 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
ES,2019-12-23 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
BE,2019-12-23 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
LU,2019-12-23 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
DK,2019-12-23 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
EE,2019-12-23 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
NL,2019-12-23 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
IE,2019-12-23 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
SK,2019-12-23 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
CH,2019-12-23 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
RU,2019-12-23 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
ZA,2019-12-23 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
BR,2019-12-23 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
DE,2019-12-24 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
GB,2019-12-24 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
KR,2019-12-24 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
SG,2019-12-24 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
JP,2019-12-24 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
SE,2019-12-24 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
CA,2019-12-24 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
TW,2019-12-24 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
CZ,2019-12-24 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
AU,2019-12-24 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
RO,2019-12-24 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
FR,2019-12-24 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
ES,2019-12-24 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
BE,2019-12-24 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
LU,2019-12-24 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
DK,2019-12-24 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
EE,2019-12-24 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
NL,2019-12-24 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
IE,2019-12-24 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
SK,2019-12-24 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
CH,2019-12-24 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
RU,2019-12-24 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
ZA,2019-12-24 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
BR,2019-12-24 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
DE,2019-12-25 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
GB,2019-12-25 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
KR,2019-12-25 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
SG,2019-12-25 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
JP,2019-12-25 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
SE,2019-12-25 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
CA,2019-12-25 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
TW,2019-12-25 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
CZ,2019-12-25 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
AU,2019-12-25 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
RO,2019-12-25 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
FR,2019-12-25 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
ES,2019-12-25 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
BE,2019-12-25 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
LU,2019-12-25 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
DK,2019-12-25 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
EE,2019-12-25 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
NL,2019-12-25 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
IE,2019-12-25 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
SK,2019-12-25 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
CH,2019-12-25 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
RU,2019-12-25 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
ZA,2019-12-25 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
BR,2019-12-25 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
DE,2019-12-26 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
GB,2019-12-26 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
KR,2019-12-26 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
SG,2019-12-26 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
JP,2019-12-26 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
SE,2019-12-26 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
CA,2019-12-26 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
TW,2019-12-26 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
CZ,2019-12-26 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
AU,2019-12-26 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
RO,2019-12-26 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
FR,2019-12-26 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
ES,2019-12-26 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
BE,2019-12-26 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
LU,2019-12-26 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
DK,2019-12-26 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
EE,2019-12-26 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
NL,2019-12-26 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
IE,2019-12-26 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
SK,2019-12-26 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
CH,2019-12-26 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
RU,2019-12-26 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
ZA,2019-12-26 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
BR,2019-12-26 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
DE,2019-12-27 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
GB,2019-12-27 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
KR,2019-12-27 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
SG,2019-12-27 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
JP,2019-12-27 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
SE,2019-12-27 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
CA,2019-12-27 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
TW,2019-12-27 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
CZ,2019-12-27 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
AU,2019-12-27 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
RO,2019-12-27 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
FR,2019-12-27 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
ES,2019-12-27 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
BE,2019-12-27 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
LU,2019-12-27 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
DK,2019-12-27 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
EE,2019-12-27 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
NL,2019-12-27 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
IE,2019-12-27 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
SK,2019-12-27 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
CH,2019-12-27 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
RU,2019-12-27 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
ZA,2019-12-27 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
BR,2019-12-27 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
DE,2019-12-28 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
GB,2019-12-28 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
KR,2019-12-28 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
SG,2019-12-28 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
JP,2019-12-28 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
SE,2019-12-28 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
CA,2019-12-28 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
TW,2019-12-28 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
CZ,2019-12-28 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
AU,2019-12-28 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
RO,2019-12-28 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
FR,2019-12-28 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
ES,2019-12-28 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
BE,2019-12-28 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
LU,2019-12-28 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
DK,2019-12-28 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
EE,2019-12-28 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
NL,2019-12-28 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
IE,2019-12-28 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
SK,2019-12-28 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
CH,2019-12-28 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
RU,2019-12-28 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
ZA,2019-12-28 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
BR,2019-12-28 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
DE,2019-12-29 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
GB,2019-12-29 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
KR,2019-12-29 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
SG,2019-12-29 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
JP,2019-12-29 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
SE,2019-12-29 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
CA,2019-12-29 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
TW,2019-12-29 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
CZ,2019-12-29 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
AU,2019-12-29 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
RO,2019-12-29 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
FR,2019-12-29 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
ES,2019-12-29 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
BE,2019-12-29 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
LU,2019-12-29 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
DK,2019-12-29 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
EE,2019-12-29 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
NL,2019-12-29 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
IE,2019-12-29 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
SK,2019-12-29 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
CH,2019-12-29 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
RU,2019-12-29 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
ZA,2019-12-29 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
BR,2019-12-29 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
DE,2019-12-30 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
GB,2019-12-30 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
KR,2019-12-30 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
SG,2019-12-30 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
JP,2019-12-30 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
SE,2019-12-30 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
CA,2019-12-30 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
TW,2019-12-30 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
CZ,2019-12-30 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
AU,2019-12-30 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
RO,2019-12-30 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
FR,2019-12-30 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
ES,2019-12-30 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
BE,2019-12-30 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
LU,2019-12-30 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
DK,2019-12-30 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
EE,2019-12-30 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
NL,2019-12-30 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
IE,2019-12-30 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
SK,2019-12-30 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
CH,2019-12-30 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
RU,2019-12-30 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
ZA,2019-12-30 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
BR,2019-12-30 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
DE,2019-12-31 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
GB,2019-12-31 00:00:00+00:00,0.0,0.0,0.0,0.05,0.0,0.0
